species_id,sci_name,en_us
grerhe1,Rhea americana,Greater Rhea
gretin1,Tinamus major,Great Tinamou
wfwduc1,Dendrocygna viduata,White-faced Whistling-Duck
bbwduc,Dendrocygna autumnalis,Black-bellied Whistling-Duck
fuwduc,Dendrocygna bicolor,Fulvous Whistling-Duck
snogoo,Anser caerulescens,Snow Goose
rosgoo,Anser rossii,Ross's Goose
swagoo2,Anser cygnoides (Domestic type),Swan Goose (Domestic type)
gwfgoo,Anser albifrons,Greater White-fronted Goose
gwfgoo2,Anser albifrons gambelli/sponsa,Greater White-fronted Goose (Western)
domgoo1,Anser sp. (Domestic type),Domestic goose sp. (Domestic type)
brant,Branta bernicla,Brant
bargoo,Branta leucopsis,Barnacle Goose
cacgoo1,Branta hutchinsii,Cackling Goose
alcgoo1,Branta hutchinsii leucopareia,Cackling Goose (Aleutian)
ricgoo1,Branta hutchinsii hutchinsii,Cackling Goose (Richardson's)
cacgoo2,Branta hutchinsii minima,Cackling Goose (minima)
cangoo,Branta canadensis,Canada Goose
cangoo4,Branta canadensis moffitti/maxima,Canada Goose (moffitti/maxima)
cangoo1,Branta canadensis [canadensis Group],Canada Goose (canadensis Group)
x00415,Anser albifrons x Branta canadensis,Greater White-fronted x Canada Goose (hybrid)
x00759,Anser sp. (Domestic type) x Branta canadensis,Domestic goose sp. x Canada Goose (hybrid)
x00197,Anser caerulescens x Branta canadensis,Snow x Canada Goose (hybrid)
hawgoo,Branta sandvicensis,Hawaiian Goose
goose1,Anatidae (goose sp.),goose sp.
mutswa,Cygnus olor,Mute Swan
truswa,Cygnus buccinator,Trumpeter Swan
tunswa,Cygnus columbianus,Tundra Swan
tunswa1,Cygnus columbianus columbianus,Tundra Swan (Whistling)
x00418,Cygnus buccinator x columbianus,Trumpeter x Tundra Swan (hybrid)
y00471,Cygnus buccinator/columbianus,Trumpeter/Tundra Swan
swan1,Cygnus sp.,swan sp.
egygoo,Alopochen aegyptiaca,Egyptian Goose
musduc,Cairina moschata,Muscovy Duck
musduc3,Cairina moschata (Domestic type),Muscovy Duck (Domestic type)
wooduc,Aix sponsa,Wood Duck
manduc,Aix galericulata,Mandarin Duck
baitea,Sibirionetta formosa,Baikal Teal
buwtea,Spatula discors,Blue-winged Teal
cintea,Spatula cyanoptera,Cinnamon Teal
norsho,Spatula clypeata,Northern Shoveler
gadwal,Mareca strepera,Gadwall
x00457,Spatula clypeata x Mareca strepera,Northern Shoveler x Gadwall (hybrid)
eurwig,Mareca penelope,Eurasian Wigeon
amewig,Mareca americana,American Wigeon
x00724,Mareca strepera x americana,Gadwall x American Wigeon (hybrid)
mallar3,Anas platyrhynchos,Mallard
mallar2,Anas platyrhynchos (Domestic type),Mallard (Domestic type)
mdxmal1,Cairina moschata x Anas platyrhynchos,Muscovy Duck x Mallard (hybrid)
x00205,Aix sponsa x Anas platyrhynchos,Wood Duck x Mallard (hybrid)
x00420,Mareca strepera x Anas platyrhynchos,Gadwall x Mallard (hybrid)
x00423,Anas platyrhynchos x wyvilliana,Mallard x Hawaiian Duck (hybrid)
mexduc,Anas diazi,Mexican Duck
mallar,Anas platyrhynchos/diazi,Mallard/Mexican Duck
ambduc,Anas rubripes,American Black Duck
x00004,Anas platyrhynchos x rubripes,Mallard x American Black Duck (hybrid)
y00600,Anas platyrhynchos/rubripes,Mallard/American Black Duck
motduc,Anas fulvigula,Mottled Duck
x00422,Anas platyrhynchos x fulvigula,Mallard x Mottled Duck (hybrid)
whcpin,Anas bahamensis,White-cheeked Pintail
norpin,Anas acuta,Northern Pintail
gnwtea,Anas crecca,Green-winged Teal
egwtea1,Anas crecca crecca,Green-winged Teal (Eurasian)
agwtea1,Anas crecca carolinensis,Green-winged Teal (American)
x00670,Anas platyrhynchos x crecca,Mallard x Green-winged Teal (hybrid)
dabduc1,Anatidae sp. (dabbling duck sp.),dabbling duck sp.
canvas,Aythya valisineria,Canvasback
redhea,Aythya americana,Redhead
rinduc,Aythya collaris,Ring-necked Duck
gresca,Aythya marila,Greater Scaup
lessca,Aythya affinis,Lesser Scaup
x00613,Aythya collaris x affinis,Ring-necked Duck x Lesser Scaup (hybrid)
scaup,Aythya marila/affinis,Greater/Lesser Scaup
comeid,Somateria mollissima,Common Eider
sursco,Melanitta perspicillata,Surf Scoter
whwsco2,Melanitta deglandi,White-winged Scoter
whwsco,Melanitta fusca/deglandi/stejnegeri,Velvet/White-winged/Stejneger's Scoter
blksco2,Melanitta americana,Black Scoter
lotduc,Clangula hyemalis,Long-tailed Duck
buffle,Bucephala albeola,Bufflehead
comgol,Bucephala clangula,Common Goldeneye
bargol,Bucephala islandica,Barrow's Goldeneye
y00004,Bucephala clangula/islandica,Common/Barrow's Goldeneye
hoomer,Lophodytes cucullatus,Hooded Merganser
x00202,Aix sponsa x Lophodytes cucullatus,Wood Duck x Hooded Merganser (hybrid)
x00424,Bucephala albeola x Lophodytes cucullatus,Bufflehead x Hooded Merganser (hybrid)
commer,Mergus merganser,Common Merganser
commer1,Mergus merganser americanus,Common Merganser (North American)
rebmer,Mergus serrator,Red-breasted Merganser
x00614,Aythya collaris x Mergus serrator,Ring-necked Duck x Red-breasted Merganser (hybrid)
mergan1,Mergellus/Lophodytes/Mergus sp.,merganser sp.
rudduc,Oxyura jamaicensis,Ruddy Duck
duck1,Anatidae (duck sp.),duck sp.
placha,Ortalis vetula,Plain Chachalaca
rubcha1,Ortalis wagleri,Rufous-bellied Chachalaca
colcha1,Ortalis columbiana,Colombian Chachalaca
helgui,Numida meleagris,Helmeted Guineafowl
mouqua,Oreortyx pictus,Mountain Quail
norbob,Colinus virginianus,Northern Bobwhite
norbob1,Colinus virginianus [virginianus Group],Northern Bobwhite (Eastern)
scaqua,Callipepla squamata,Scaled Quail
x00688,Colinus virginianus x Callipepla squamata,Northern Bobwhite x Scaled Quail (hybrid)
calqua,Callipepla californica,California Quail
gamqua,Callipepla gambelii,Gambel's Quail
x00689,Callipepla squamata x gambelii,Scaled x Gambel's Quail (hybrid)
y00315,Callipepla californica x gambelii,California x Gambel's Quail (hybrid)
monqua,Cyrtonyx montezumae,Montezuma Quail
quail1,Odontophoridae sp.,new world quail sp.
wiltur,Meleagris gallopavo,Wild Turkey
rufgro,Bonasa umbellus,Ruffed Grouse
dusgro,Dendragapus obscurus,Dusky Grouse
soogro1,Dendragapus fuliginosus,Sooty Grouse
blugrs,Dendragapus obscurus/fuliginosus,Dusky/Sooty Grouse
shtgro,Tympanuchus phasianellus,Sharp-tailed Grouse
grpchi,Tympanuchus cupido,Greater Prairie-Chicken
greprc1,Tympanuchus cupido pinnatus,Greater Prairie-Chicken (pinnatus)
wilpta,Lagopus lagopus,Willow Ptarmigan
rocpta1,Lagopus muta,Rock Ptarmigan
ptarmi1,Lagopus sp.,ptarmigan sp.
sprgro,Canachites canadensis,Spruce Grouse
frsgro1,Canachites canadensis franklinii/isleibi,Spruce Grouse (Franklin's)
grypar,Perdix perdix,Gray Partridge
golphe,Chrysolophus pictus,Golden Pheasant
rinphe1,Phasianus colchicus,Ring-necked Pheasant
